model,feature_idx,feature_id,feature_kind,config_label,index_type,nlist,nprobe,M_hnsw,efSearch,m_pq,top10_in_top100_recall,recall_at_10,recall_at_100,concept_purity,score_gap,spearman_top100,ms_query_mean,ms_query_p50,ms_query_p95,build_time_s,train_time_s,add_time_s,index_size_bytes,index_size_mb
gemma-2-2b,0,10762,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,1.1e-05,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,1,6810,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.9988,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,2,11114,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.8,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,3,6335,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,4,13295,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-8e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,5,6745,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,6,3447,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,7,12342,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,0.9,0.45,0.0,-1.1e-05,0.7817,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,8,6795,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,9,11221,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,10,6980,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,11,14956,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,12,13579,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,13,12106,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,14,5969,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,15,13591,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,16,6360,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,17,1418,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,18,2606,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,19,7712,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,0,10762,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.11,0.0,-3.715229,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.6,0.6,0.35,0.0,-2.225662,0.9997,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,0.4,-26.431048,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.9,0.9,0.91,0.0,-0.027451,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,4,13295,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,0.0,-30.691673,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,5,6745,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.02,0.0,-4.325417,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,6,3447,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.1,0.1,0.08,0.0,-2.764448,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,7,12342,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.2,0.1,0.38,0.0,-0.877781,0.6374,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,8,6795,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.02,0.0,-5.950195,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,9,11221,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.01,0.0,-3.142673,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,10,6980,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-33.705842,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,11,14956,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-13.495738,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,12,13579,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.01,,-2.781746,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,13,12106,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-8.52944,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,14,5969,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.8,0.8,0.91,,-0.163223,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,15,13591,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-7.992219,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,16,6360,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-13.752154,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,17,1418,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-17.641065,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,18,2606,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-20.826148,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,19,7712,random,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,,-7.659183,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,0,10762,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.5,0.5,0.36,0.0,-1.072834,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.7,0.7,0.58,0.0,-1.548843,0.9999,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.04,0.9,-7.221092,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.9,0.9,0.99,0.0,-0.027451,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,4,13295,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,0.0,-15.484833,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,5,6745,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.2,0.2,0.28,0.0,-1.606129,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,6,3447,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.2,0.2,0.09,0.0,-2.25177,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,7,12342,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.9,0.8,0.44,0.0,-0.038036,0.7665,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,8,6795,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.04,0.0,-3.593786,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,9,11221,lexicon,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.02,0.0,-2.831743,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,10,6980,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.5,0.5,0.24,,-1.181252,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,11,14956,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-12.841664,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,12,13579,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.09,,-1.723032,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,13,12106,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.01,,-4.842367,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,14,5969,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.8,0.8,0.91,,-0.163223,1.0,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,15,13591,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-6.893279,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,16,6360,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-6.248034,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,17,1418,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-16.67229,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,18,2606,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-19.92967,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,19,7712,random,IVFFlat_nl1024_np4,IVFFlat,1024,4,0,0,0,0.0,0.0,0.0,,-4.231792,,18.736,16.821,29.983,2570.14,517.53,2052.61,92248264843,87974.8
gemma-2-2b,0,10762,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.7,0.7,0.49,0.0,-0.514301,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,1.0,1.0,0.98,0.0,0.0,0.9988,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.7,0.7,0.51,0.8,-0.946779,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.9,0.9,0.99,0.0,-0.027451,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,4,13295,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.01,0.0,-12.863354,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,5,6745,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.4,0.4,0.41,0.0,-0.850903,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,6,3447,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.4,0.4,0.24,0.0,-1.24408,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,7,12342,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,1.0,0.9,0.45,0.0,-1.1e-05,0.7817,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,8,6795,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.2,0.2,0.11,0.0,-2.049868,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,9,11221,lexicon,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.1,0.1,0.06,0.0,-2.297569,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,10,6980,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.7,0.7,0.44,,-0.437702,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,11,14956,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.4,0.4,0.33,,-1.642549,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,12,13579,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.1,0.1,0.21,,-1.268403,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,13,12106,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.1,0.1,0.11,,-2.061285,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,14,5969,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.8,0.8,0.91,,-0.163223,1.0,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,15,13591,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.0,,-4.985373,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,16,6360,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.0,,-5.407264,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,17,1418,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.0,,-15.910233,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,18,2606,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.0,,-19.626777,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,19,7712,random,IVFFlat_nl1024_np16,IVFFlat,1024,16,0,0,0,0.0,0.0,0.0,,-2.476911,,81.747,79.47,115.801,2573.67,516.79,2056.88,92248264843,87974.8
gemma-2-2b,0,10762,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,1.0,1.0,0.93,0.0,1.1e-05,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,1.0,1.0,1.0,0.0,0.0,0.9988,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.9,0.9,0.86,0.9,-0.040699,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.9,0.9,0.99,0.0,-0.027451,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,4,13295,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.0,0.0,0.01,0.0,-12.508556,,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,5,6745,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.6,0.6,0.72,0.0,-0.503021,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,6,3447,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.7,0.7,0.6,0.0,-0.441162,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,7,12342,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,1.0,0.9,0.45,0.0,-1.1e-05,0.7817,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,8,6795,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.3,0.3,0.34,0.0,-1.245123,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,9,11221,lexicon,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.1,0.1,0.2,0.0,-1.670061,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,10,6980,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.8,0.8,0.59,,-0.323071,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,11,14956,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.5,0.5,0.49,,-0.985383,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,12,13579,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.2,0.2,0.36,,-0.958716,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,13,12106,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.4,0.4,0.24,,-0.772356,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,14,5969,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.8,0.8,0.92,,-0.163223,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,15,13591,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.0,0.0,0.03,,-3.542215,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,16,6360,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.1,0.1,0.02,,-4.41466,,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,17,1418,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.0,0.0,0.01,,-4.695389,,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,18,2606,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.3,0.3,0.33,,-1.421009,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,19,7712,random,IVFFlat_nl1024_np64,IVFFlat,1024,64,0,0,0,0.0,0.0,0.03,,-1.449336,1.0,361.155,342.464,486.101,2581.8,521.61,2060.19,92248264843,87974.8
gemma-2-2b,0,10762,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.05,0.0,-5.088661,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.3,0.3,0.33,0.0,-6.940704,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.1,0.1,0.28,0.7,-4.233608,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.2,0.2,0.14,0.0,-1.08316,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,4,13295,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,0.0,-17.725227,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,5,6745,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.01,0.0,-11.409153,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,6,3447,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,0.0,-20.977611,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,7,12342,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.7,0.7,0.07,0.0,-0.432957,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,8,6795,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,0.0,-18.692804,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,9,11221,lexicon,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,0.0,-4.077711,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,10,6980,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.1,0.1,0.13,,-3.709061,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,11,14956,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,,-13.467582,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,12,13579,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,,-8.073616,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,13,12106,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,,-9.36654,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,14,5969,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.8,0.8,0.71,,-0.224726,1.0,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,15,13591,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.0,,-10.342362,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
gemma-2-2b,16,6360,random,IVFFlat_nl4096_np1,IVFFlat,4096,1,0,0,0,0.0,0.0,0.01,,-5.516706,,2.183,2.45,3.44,11894.43,3948.59,7945.85,92276600971,88001.8
